OTU 1	OTU 2	corr	pval
OTUF_23	OTUF_522	-0.531133200181	0.02
OTUF_23	OTUF_11	0.614381956171	0.03
OTUF_23	OTUF_8	0.718068250121	0.01
OTUF_23	OTUF_28	0.535649913051	0.03
OTUF_23	OTUF_2213	-0.508819379393	0.02
OTUF_23	OTUF_83	0.481916631449	0.04
OTUF_23	OTUF_39	0.668253243628	0.01
OTUF_23	OTUF_1069	-0.452963264056	0.03
OTUF_23	OTUF_1821	-0.440365977274	0.05
OTUF_7	OTUF_61	-0.434487289135	0.02
OTUF_7	OTUF_3295	0.543571920213	0.02
OTUF_7	OTUF_837	0.437736193972	0.05
OTUF_7	OTUF_1069	0.48356794761	0.03
OTUF_6	OTUF_3	-0.521200153546	0.03
OTUF_6	OTUF_16	-0.575428141465	0.04
OTUF_6	OTUF_8	0.588711034213	0.04
OTUF_6	OTUF_28	0.534648883616	0.03
OTUF_6	OTUF_39	0.640881088054	0.01
OTUF_6	OTUF_3018	-0.487156174409	0.03
OTUF_6	OTUF_12	-0.52558356097	0.0
OTUF_3	OTUF_1	-0.500711370434	0.0
OTUF_3	OTUF_2	-0.514638966567	0.03
OTUF_3	OTUF_16	0.515570960284	0.04
OTUF_3	OTUF_8	-0.580749441256	0.02
OTUF_3	OTUF_28	-0.562497530359	0.04
OTUF_3	OTUF_2213	-0.568757572457	0.02
OTUF_3	OTUF_45	-0.633452997629	0.01
OTUF_3	OTUF_3018	0.904922178842	0.0
OTUF_1	OTUF_4	0.535012612221	0.04
OTUF_1	OTUF_1647	0.519424077354	0.0
OTUF_1	OTUF_10	0.444180926431	0.05
OTUF_1	OTUF_44	-0.570057751631	0.0
OTUF_1	OTUF_2861	0.552070253199	0.01
OTUF_1	OTUF_1746	-0.451036589999	0.03
OTUF_1	OTUF_1821	-0.44288908228	0.04
OTUF_1	OTUF_3018	-0.490516928233	0.04
OTUF_61	OTUF_28	0.392450704797	0.05
OTUF_61	OTUF_27	-0.433946778713	0.02
OTUF_61	OTUF_2861	-0.47080659091	0.02
OTUF_61	OTUF_837	-0.473065230158	0.01
OTUF_61	OTUF_1069	-0.650699370276	0.0
OTUF_61	OTUF_131	0.446186557813	0.03
OTUF_9	OTUF_4	0.651125409962	0.01
OTUF_9	OTUF_2	0.502902622314	0.01
OTUF_9	OTUF_1821	-0.443570792267	0.04
OTUF_522	OTUF_4	-0.634443930007	0.0
OTUF_522	OTUF_11	-0.633020376569	0.0
OTUF_522	OTUF_16	0.605774250902	0.0
OTUF_522	OTUF_8	-0.515216960765	0.05
OTUF_522	OTUF_28	-0.585336786574	0.01
OTUF_522	OTUF_39	-0.510689140292	0.01
OTUF_522	OTUF_1637	-0.42463321038	0.05
OTUF_522	OTUF_1746	0.756480988996	0.0
OTUF_522	OTUF_1821	0.734022861413	0.0
OTUF_4	OTUF_2	0.61245080194	0.01
OTUF_4	OTUF_50	0.460516111149	0.05
OTUF_4	OTUF_1821	-0.551286792033	0.03
OTUF_2	OTUF_2213	0.485191271536	0.04
OTUF_2	OTUF_3018	-0.608717791325	0.0
OTUF_11	OTUF_8	0.783327781201	0.0
OTUF_11	OTUF_28	0.865030519425	0.0
OTUF_11	OTUF_27	-0.504450022028	0.05
OTUF_11	OTUF_45	0.523120692371	0.05
OTUF_11	OTUF_39	0.739301753111	0.01
OTUF_11	OTUF_131	0.559651893066	0.04
OTUF_11	OTUF_1746	-0.547775819282	0.03
OTUF_11	OTUF_1821	-0.584227226027	0.03
OTUF_1647	OTUF_15	0.507471357784	0.03
OTUF_2478	OTUF_5	-0.652953005621	0.0
OTUF_2478	OTUF_3295	0.839983873929	0.0
OTUF_2478	OTUF_2861	0.747266267683	0.0
OTUF_16	OTUF_28	-0.4683000357	0.03
OTUF_16	OTUF_131	-0.491749377549	0.03
OTUF_16	OTUF_1746	0.715427422819	0.0
OTUF_16	OTUF_1821	0.611933697314	0.01
OTUF_16	OTUF_162	-0.516160888209	0.0
OTUF_36	OTUF_1637	0.610140803509	0.02
OTUF_8	OTUF_28	0.778645990003	0.01
OTUF_8	OTUF_39	0.830638204521	0.0
OTUF_8	OTUF_131	0.610557486946	0.01
OTUF_8	OTUF_3018	-0.6078597162	0.03
OTUF_28	OTUF_45	0.670658596848	0.0
OTUF_28	OTUF_39	0.848341235167	0.0
OTUF_28	OTUF_131	0.598189221879	0.02
OTUF_28	OTUF_1746	-0.597740344441	0.02
OTUF_28	OTUF_1821	-0.620889803498	0.0
OTUF_28	OTUF_3018	-0.550664890496	0.01
OTUF_5	OTUF_3295	-0.735943146192	0.0
OTUF_5	OTUF_2861	-0.652048946588	0.01
OTUF_1125	OTUF_837	0.711436333866	0.0
OTUF_27	OTUF_32	-0.458728220799	0.05
OTUF_27	OTUF_1069	0.619121851373	0.0
OTUF_27	OTUF_131	-0.650667472415	0.0
OTUF_32	OTUF_1069	-0.501671597855	0.02
OTUF_32	OTUF_162	0.525401823991	0.0
OTUF_2213	OTUF_17	0.645914749584	0.0
OTUF_2213	OTUF_3018	-0.53269525458	0.05
OTUF_15	OTUF_83	-0.612272130055	0.01
OTUF_3295	OTUF_44	-0.602191465772	0.0
OTUF_3295	OTUF_2861	0.874067031606	0.0
OTUF_44	OTUF_2861	-0.618647094325	0.0
OTUF_44	OTUF_1637	0.573826758474	0.05
OTUF_44	OTUF_837	-0.568698876773	0.01
OTUF_44	OTUF_1069	-0.48725385912	0.04
OTUF_83	OTUF_1069	-0.436104488822	0.05
OTUF_83	OTUF_131	0.45263721012	0.04
