OTU 1	OTU 2	corr	pval
OTUF_107	OTUF_201	0.832832431976	0.0
OTUF_107	OTUF_46	-0.455813826994	0.04
OTUF_107	OTUF_1637	0.44711337844	0.05
OTUF_107	OTUF_1591	-0.620468061534	0.0
OTUF_107	OTUF_122	-0.511470767148	0.04
OTUF_37	OTUF_84	0.802667044049	0.0
OTUF_37	OTUF_1559	0.89898947483	0.0
OTUF_37	OTUF_4	0.521252607285	0.05
OTUF_37	OTUF_149	-0.720781735906	0.0
OTUF_37	OTUF_112	-0.568558855487	0.02
OTUF_37	OTUF_98	-0.595431974517	0.04
OTUF_37	OTUF_355	-0.600966452014	0.01
OTUF_37	OTUF_270	-0.457339448232	0.05
OTUF_201	OTUF_46	-0.47703587756	0.03
OTUF_201	OTUF_624	0.455811698015	0.05
OTUF_201	OTUF_39	-0.47164923421	0.05
OTUF_201	OTUF_1591	-0.525546906289	0.01
OTUF_71	OTUF_46	0.96654933527	0.0
OTUF_71	OTUF_49	0.847134418811	0.0
OTUF_71	OTUF_171	-0.603607250067	0.01
OTUF_71	OTUF_52	0.523263865099	0.03
OTUF_71	OTUF_104	-0.453403292012	0.05
OTUF_71	OTUF_1591	0.787225116683	0.0
OTUF_46	OTUF_49	0.923877382652	0.0
OTUF_46	OTUF_171	-0.577957863135	0.03
OTUF_46	OTUF_52	0.501710267159	0.02
OTUF_46	OTUF_1591	0.886816143794	0.0
OTUF_2945	OTUF_146	-0.546074710967	0.05
OTUF_2945	OTUF_104	-0.583563326647	0.05
OTUF_2945	OTUF_143	-0.628071429536	0.03
OTUF_2945	OTUF_147	-0.562382541021	0.03
OTUF_2945	OTUF_270	-0.45398464125	0.04
OTUF_84	OTUF_1559	0.776348576205	0.01
OTUF_84	OTUF_149	-0.671052373199	0.0
OTUF_84	OTUF_2144	0.572503464752	0.02
OTUF_84	OTUF_1946	0.610893116041	0.01
OTUF_84	OTUF_112	-0.667960066199	0.01
OTUF_84	OTUF_126	-0.502429226925	0.02
OTUF_84	OTUF_355	-0.524460251819	0.03
OTUF_84	OTUF_270	-0.699591711061	0.01
OTUF_51	OTUF_624	0.926997257396	0.0
OTUF_51	OTUF_21	0.579116492569	0.02
OTUF_51	OTUF_4	-0.492396973031	0.03
OTUF_51	OTUF_101	0.657627288394	0.0
OTUF_51	OTUF_60	0.694789331586	0.0
OTUF_51	OTUF_52	0.547946233338	0.01
OTUF_51	OTUF_87	0.519349316089	0.03
OTUF_51	OTUF_108	0.508341980892	0.03
OTUF_51	OTUF_266	-0.513938197197	0.03
OTUF_49	OTUF_52	0.457523895654	0.05
OTUF_49	OTUF_149	0.623410949971	0.03
OTUF_49	OTUF_1591	0.938731101522	0.0
OTUF_49	OTUF_112	0.526587684348	0.01
OTUF_49	OTUF_126	0.600695117739	0.01
OTUF_624	OTUF_21	0.667389988221	0.01
OTUF_624	OTUF_4	-0.59130618214	0.01
OTUF_624	OTUF_101	0.581315672076	0.02
OTUF_624	OTUF_60	0.615216637818	0.03
OTUF_624	OTUF_87	0.513054487392	0.02
OTUF_624	OTUF_266	-0.517457804014	0.01
OTUF_21	OTUF_64	-0.47234609529	0.04
OTUF_21	OTUF_137	0.907043019086	0.0
OTUF_21	OTUF_1	-0.556186890526	0.03
OTUF_21	OTUF_10	-0.50188401891	0.04
OTUF_21	OTUF_60	0.63735225685	0.02
OTUF_21	OTUF_266	-0.514432105475	0.04
OTUF_21	OTUF_3267	0.566074631355	0.0
OTUF_21	OTUF_355	0.521795801643	0.01
OTUF_23	OTUF_125	-0.579670355458	0.04
OTUF_23	OTUF_32	-0.604497326903	0.01
OTUF_23	OTUF_2763	0.524718105959	0.03
OTUF_23	OTUF_270	-0.466147290461	0.01
OTUF_146	OTUF_4	0.482744270649	0.03
OTUF_146	OTUF_8	0.577756568678	0.05
OTUF_6	OTUF_2534	0.515226260019	0.05
OTUF_6	OTUF_4	0.733961888028	0.0
OTUF_6	OTUF_2	0.562962333156	0.02
OTUF_6	OTUF_1978	-0.566517967434	0.04
OTUF_64	OTUF_43	0.752815209621	0.0
OTUF_64	OTUF_137	-0.538724638177	0.01
OTUF_64	OTUF_125	0.782131626728	0.0
OTUF_64	OTUF_101	-0.481200445623	0.04
OTUF_64	OTUF_60	-0.599415157999	0.0
OTUF_64	OTUF_1637	-0.508507373966	0.05
OTUF_64	OTUF_87	-0.532512186406	0.03
OTUF_43	OTUF_125	0.61769810074	0.02
OTUF_43	OTUF_11	-0.620044130691	0.02
OTUF_43	OTUF_52	-0.485320227888	0.05
OTUF_137	OTUF_3	-0.475997389515	0.05
OTUF_137	OTUF_125	-0.496900499	0.04
OTUF_137	OTUF_1	-0.536922503082	0.04
OTUF_137	OTUF_10	-0.540801993094	0.01
OTUF_137	OTUF_60	0.611133547128	0.02
OTUF_137	OTUF_266	-0.491127929223	0.04
OTUF_137	OTUF_3267	0.529941271822	0.04
OTUF_137	OTUF_144	-0.57780906822	0.03
OTUF_137	OTUF_355	0.497968129674	0.04
OTUF_18	OTUF_69	0.789252211666	0.0
OTUF_18	OTUF_36	-0.50001039294	0.04
OTUF_18	OTUF_1486	0.823533641249	0.0
OTUF_18	OTUF_1032	0.767890702486	0.0
OTUF_18	OTUF_112	-0.491879423007	0.05
OTUF_3	OTUF_10	0.672227243533	0.0
OTUF_3	OTUF_16	-0.504560077165	0.04
OTUF_3	OTUF_36	0.447196010259	0.05
OTUF_3	OTUF_39	-0.573474004802	0.02
OTUF_3	OTUF_206	0.629129598495	0.0
OTUF_3	OTUF_209	0.556948527305	0.03
OTUF_3	OTUF_2144	-0.439378804908	0.05
OTUF_3	OTUF_2081	0.492458821457	0.05
OTUF_125	OTUF_1	0.482957064433	0.03
OTUF_125	OTUF_11	-0.626881241244	0.0
OTUF_125	OTUF_16	-0.461917495231	0.05
OTUF_125	OTUF_1978	0.554949870495	0.02
OTUF_3229	OTUF_334	0.670390257384	0.01
OTUF_3229	OTUF_2534	0.627975819566	0.01
OTUF_3229	OTUF_95	0.743002378768	0.0
OTUF_3229	OTUF_8	0.603134517611	0.04
OTUF_3229	OTUF_206	-0.594254768766	0.01
OTUF_3229	OTUF_209	-0.509042365696	0.04
OTUF_3229	OTUF_114	-0.51597435448	0.04
OTUF_3229	OTUF_1978	-0.477770046521	0.02
OTUF_334	OTUF_2534	0.9297859158	0.0
OTUF_334	OTUF_95	0.91103821108	0.0
OTUF_334	OTUF_206	-0.677626117014	0.01
OTUF_334	OTUF_209	-0.649445715963	0.0
OTUF_334	OTUF_1946	0.524542571124	0.05
OTUF_1	OTUF_10	0.773909307553	0.0
OTUF_1	OTUF_1477	-0.491606803108	0.03
OTUF_1	OTUF_355	-0.495878034972	0.05
OTUF_168	OTUF_171	0.707827130361	0.0
OTUF_168	OTUF_257	0.485127451241	0.04
OTUF_1559	OTUF_4	0.487939770675	0.04
OTUF_1559	OTUF_149	-0.686994748794	0.02
OTUF_1559	OTUF_112	-0.606795684019	0.05
OTUF_1559	OTUF_98	-0.529080970259	0.04
OTUF_1559	OTUF_355	-0.531624170638	0.02
OTUF_1559	OTUF_270	-0.543957070134	0.03
OTUF_2534	OTUF_95	0.912670538267	0.0
OTUF_2534	OTUF_4	0.45662599583	0.04
OTUF_2534	OTUF_206	-0.53475727364	0.03
OTUF_2534	OTUF_209	-0.564018042498	0.05
OTUF_2534	OTUF_1978	-0.373940847175	0.03
OTUF_95	OTUF_206	-0.613323662804	0.0
OTUF_95	OTUF_209	-0.541666245561	0.01
OTUF_9	OTUF_2	0.654684276705	0.01
OTUF_9	OTUF_104	0.687899307379	0.0
OTUF_9	OTUF_143	0.616648450386	0.0
OTUF_9	OTUF_73	-0.667957200294	0.0
OTUF_9	OTUF_147	0.571904318101	0.03
OTUF_9	OTUF_134	-0.609189939261	0.0
OTUF_9	OTUF_1477	-0.581812168572	0.0
OTUF_9	OTUF_2305	-0.627767791811	0.0
OTUF_9	OTUF_2075	-0.687249088592	0.0
OTUF_171	OTUF_101	-0.433137719393	0.05
OTUF_171	OTUF_114	-0.464554872342	0.05
OTUF_69	OTUF_1486	0.847221083151	0.0
OTUF_69	OTUF_1032	0.979805573582	0.0
OTUF_4	OTUF_2	0.659578924025	0.04
OTUF_4	OTUF_8	0.550839111459	0.0
OTUF_4	OTUF_52	-0.483685283638	0.03
OTUF_4	OTUF_39	0.531091629108	0.05
OTUF_4	OTUF_120	0.588183663972	0.02
OTUF_4	OTUF_1978	-0.676327565672	0.03
OTUF_4	OTUF_2081	-0.572018856372	0.03
OTUF_2	OTUF_39	0.477742330273	0.05
OTUF_2	OTUF_2081	-0.592729275993	0.01
OTUF_11	OTUF_32	-0.531180408331	0.03
OTUF_11	OTUF_39	0.450671130992	0.04
OTUF_11	OTUF_108	0.516290338019	0.02
OTUF_11	OTUF_114	0.523904397249	0.04
OTUF_11	OTUF_12	0.539905275665	0.05
OTUF_11	OTUF_1463	-0.614441677797	0.01
OTUF_11	OTUF_2081	-0.604351577598	0.01
OTUF_11	OTUF_122	-0.531103086264	0.05
OTUF_11	OTUF_112	-0.538063536948	0.04
OTUF_10	OTUF_206	0.498251480628	0.04
OTUF_10	OTUF_240	0.45192240395	0.04
OTUF_10	OTUF_355	-0.528235655479	0.01
OTUF_101	OTUF_60	0.637865258901	0.01
OTUF_101	OTUF_52	0.65858378325	0.0
OTUF_101	OTUF_5	-0.472504581695	0.02
OTUF_101	OTUF_87	0.674987400921	0.0
OTUF_101	OTUF_73	-0.482156629335	0.04
OTUF_101	OTUF_2305	-0.521879682528	0.03
OTUF_16	OTUF_39	0.707487536767	0.0
OTUF_36	OTUF_1637	0.674480024924	0.0
OTUF_36	OTUF_206	0.523872072092	0.02
OTUF_36	OTUF_209	0.476987685363	0.04
OTUF_8	OTUF_1486	0.58289369457	0.01
OTUF_8	OTUF_1978	-0.578204939917	0.03
OTUF_8	OTUF_2081	-0.669657958901	0.02
OTUF_60	OTUF_52	0.798754462502	0.0
OTUF_60	OTUF_87	0.828714229484	0.0
OTUF_60	OTUF_73	-0.575057723546	0.02
OTUF_60	OTUF_134	-0.511851676896	0.04
OTUF_60	OTUF_266	-0.659152886905	0.0
OTUF_60	OTUF_2305	-0.649322832634	0.0
OTUF_60	OTUF_174	0.543410776745	0.02
OTUF_52	OTUF_5	-0.62297978999	0.03
OTUF_52	OTUF_87	0.889968645789	0.0
OTUF_52	OTUF_73	-0.520103782596	0.04
OTUF_52	OTUF_108	0.552515699421	0.05
OTUF_52	OTUF_266	-0.587506226864	0.02
OTUF_52	OTUF_2305	-0.631637954337	0.0
OTUF_52	OTUF_1978	0.511758809015	0.03
OTUF_5	OTUF_87	-0.584357898242	0.01
OTUF_5	OTUF_73	0.608687720245	0.02
OTUF_5	OTUF_134	0.602391774732	0.04
OTUF_5	OTUF_266	0.550827951244	0.01
OTUF_5	OTUF_1477	0.645452394447	0.01
OTUF_5	OTUF_2305	0.53963719599	0.02
OTUF_5	OTUF_149	-0.500828975836	0.03
OTUF_5	OTUF_2075	0.636659675528	0.0
OTUF_5	OTUF_189	0.443788077748	0.05
OTUF_5	OTUF_1978	-0.588182150791	0.02
OTUF_5	OTUF_2081	-0.532113483537	0.04
OTUF_5	OTUF_3116	0.610402832724	0.01
OTUF_5	OTUF_122	-0.59534455437	0.03
OTUF_5	OTUF_112	-0.559967749733	0.04
OTUF_32	OTUF_104	0.431461139702	0.05
OTUF_32	OTUF_143	0.444825282386	0.05
OTUF_32	OTUF_1637	-0.52561001841	0.01
OTUF_32	OTUF_98	0.567654500637	0.03
OTUF_104	OTUF_143	0.954668357032	0.0
OTUF_104	OTUF_73	-0.554491146883	0.02
OTUF_104	OTUF_147	0.945947421431	0.0
OTUF_104	OTUF_134	-0.478383322986	0.05
OTUF_104	OTUF_2075	-0.529791248271	0.05
OTUF_104	OTUF_98	0.527504185797	0.03
OTUF_104	OTUF_144	0.644257369804	0.02
OTUF_143	OTUF_73	-0.581375890722	0.01
OTUF_143	OTUF_147	0.93530278669	0.0
OTUF_143	OTUF_134	-0.531818623555	0.01
OTUF_143	OTUF_2075	-0.564660117512	0.02
OTUF_143	OTUF_98	0.550327492036	0.01
OTUF_143	OTUF_144	0.57812795277	0.0
OTUF_120	OTUF_2763	0.891923965642	0.0
OTUF_120	OTUF_149	-0.565897465813	0.02
OTUF_120	OTUF_1978	-0.558928206907	0.03
OTUF_120	OTUF_3116	0.893356788254	0.0
OTUF_1637	OTUF_209	0.645429592671	0.0
OTUF_1637	OTUF_2144	-0.546804286196	0.03
OTUF_1637	OTUF_1946	-0.565417451063	0.05
OTUF_1637	OTUF_122	-0.558476308859	0.02
OTUF_87	OTUF_73	-0.578945431388	0.03
OTUF_87	OTUF_266	-0.666953687651	0.0
OTUF_87	OTUF_2305	-0.651236636631	0.02
OTUF_87	OTUF_2075	-0.521099032185	0.03
OTUF_87	OTUF_174	0.62118114781	0.0
OTUF_73	OTUF_147	-0.519460512719	0.04
OTUF_73	OTUF_134	0.953064847347	0.0
OTUF_73	OTUF_266	0.660136153759	0.01
OTUF_73	OTUF_1477	0.887684500094	0.0
OTUF_73	OTUF_2305	0.911453299333	0.0
OTUF_73	OTUF_2075	0.945728954353	0.0
OTUF_108	OTUF_240	-0.678458210915	0.0
OTUF_108	OTUF_1463	-0.506715002056	0.04
OTUF_206	OTUF_209	0.834080319754	0.0
OTUF_206	OTUF_12	0.506020000992	0.03
OTUF_147	OTUF_144	0.676462172437	0.03
OTUF_134	OTUF_266	0.578391988931	0.01
OTUF_134	OTUF_1477	0.902940640952	0.0
OTUF_134	OTUF_2305	0.916257980514	0.0
OTUF_134	OTUF_2075	0.919004627165	0.0
OTUF_266	OTUF_1477	0.54482255806	0.02
OTUF_266	OTUF_2763	0.545476290172	0.03
OTUF_266	OTUF_2075	0.543015581176	0.03
OTUF_266	OTUF_3116	0.543002738055	0.04
OTUF_1477	OTUF_2305	0.888742762998	0.0
OTUF_1477	OTUF_2075	0.896186416044	0.0
OTUF_2305	OTUF_149	-0.521350327834	0.03
OTUF_2305	OTUF_2075	0.892952521583	0.0
OTUF_2763	OTUF_1978	-0.514369592394	0.03
OTUF_2763	OTUF_1591	-0.453618079554	0.04
OTUF_2763	OTUF_3116	0.811760205534	0.0
OTUF_209	OTUF_2144	-0.620950414215	0.02
OTUF_209	OTUF_1463	-0.486104091823	0.05
OTUF_209	OTUF_1946	-0.555070938411	0.02
OTUF_149	OTUF_2075	-0.449572098686	0.05
OTUF_149	OTUF_1591	0.674045093574	0.0
OTUF_149	OTUF_3116	-0.549452555408	0.02
OTUF_149	OTUF_112	0.777121026587	0.0
OTUF_149	OTUF_98	0.508057261069	0.02
OTUF_149	OTUF_126	0.793549097296	0.0
OTUF_149	OTUF_355	0.627917442521	0.01
OTUF_149	OTUF_270	0.627994739069	0.01
OTUF_2144	OTUF_1946	0.94341307066	0.0
OTUF_2144	OTUF_144	0.551358698975	0.03
OTUF_2144	OTUF_262	0.722079915896	0.0
OTUF_2144	OTUF_270	-0.576076548536	0.0
OTUF_114	OTUF_12	0.486607674814	0.04
OTUF_1486	OTUF_1032	0.846180875105	0.0
OTUF_1032	OTUF_174	-0.50991022341	0.03
OTUF_12	OTUF_174	-0.492855212173	0.04
OTUF_12	OTUF_179	0.548053013339	0.05
OTUF_189	OTUF_89	0.658370594179	0.0
OTUF_189	OTUF_257	0.54881566765	0.03
