OTU 1	OTU 2	corr	pval
OTU_57	OTU_312	0.710382248715	0.01
OTU_57	OTU_4786	0.541428486495	0.05
OTU_57	OTU_30	-0.502302613382	0.04
OTU_57	OTU_3337	-0.539563174605	0.03
OTU_10	OTU_2773	-0.610720863508	0.0
OTU_10	OTU_26	-0.790055101396	0.02
OTU_10	OTU_2	-0.725259281602	0.0
OTU_10	OTU_23	-0.83192649542	0.0
OTU_10	OTU_2078	0.65969291937	0.03
OTU_10	OTU_29	0.663528898409	0.02
OTU_10	OTU_2865	0.668469353594	0.01
OTU_10	OTU_30	0.700612014773	0.03
OTU_10	OTU_4643	0.647738025107	0.05
OTU_10	OTU_86	-0.543547686302	0.03
OTU_10	OTU_77	0.525282503597	0.04
OTU_10	OTU_8	-0.692861115676	0.0
OTU_10	OTU_112	0.575671949332	0.03
OTU_10	OTU_3337	0.505701446492	0.05
OTU_10	OTU_130	0.661573217811	0.02
OTU_10	OTU_858	0.694212120616	0.01
OTU_466	OTU_39	0.527932121947	0.05
OTU_466	OTU_1465	0.642471628519	0.04
OTU_466	OTU_32	0.551972559775	0.02
OTU_466	OTU_27	0.511899866271	0.02
OTU_466	OTU_613	0.538237196502	0.04
OTU_466	OTU_1182	-0.534701534965	0.04
OTU_2773	OTU_26	0.594923661647	0.02
OTU_2773	OTU_2	0.686314768457	0.01
OTU_2773	OTU_1	-0.585882776015	0.05
OTU_2773	OTU_27	0.622327031616	0.02
OTU_2773	OTU_29	-0.731312386718	0.02
OTU_2773	OTU_206	-0.543092314704	0.02
OTU_2773	OTU_69	0.524260424853	0.04
OTU_2773	OTU_74	-0.62007260895	0.0
OTU_2773	OTU_14	-0.68736447343	0.01
OTU_2773	OTU_36	0.664231628455	0.01
OTU_2773	OTU_4643	-0.758624743866	0.0
OTU_2773	OTU_86	0.682264296477	0.01
OTU_2773	OTU_45	-0.591400273577	0.0
OTU_2773	OTU_585	0.550848292691	0.02
OTU_2773	OTU_130	-0.563029497356	0.04
OTU_2773	OTU_68	-0.578788360647	0.03
OTU_2773	OTU_858	-0.574852853512	0.04
OTU_7	OTU_35	0.73041406833	0.0
OTU_24	OTU_6	0.790582550037	0.0
OTU_24	OTU_11	0.669926939052	0.0
OTU_24	OTU_15	0.662113665304	0.03
OTU_24	OTU_92	-0.631107541956	0.02
OTU_24	OTU_5583	0.621934401688	0.04
OTU_24	OTU_3	0.752747859277	0.0
OTU_24	OTU_36	-0.797635712334	0.0
OTU_24	OTU_94	0.501511357212	0.04
OTU_24	OTU_103	-0.488735311811	0.04
OTU_24	OTU_88	-0.733989833207	0.0
OTU_24	OTU_71	0.682326191166	0.01
OTU_24	OTU_3549	0.587697734685	0.0
OTU_24	OTU_61	0.636025009904	0.01
OTU_24	OTU_138	-0.598157040775	0.04
OTU_24	OTU_37	-0.55676227033	0.02
OTU_6	OTU_39	0.616473927966	0.01
OTU_6	OTU_1	0.585469755497	0.04
OTU_6	OTU_15	0.875258491638	0.0
OTU_6	OTU_19	0.542176139785	0.03
OTU_6	OTU_3	0.65970478531	0.02
OTU_6	OTU_74	0.557859764474	0.03
OTU_6	OTU_14	0.618121127916	0.05
OTU_6	OTU_36	-0.73187981446	0.0
OTU_6	OTU_88	-0.642301362515	0.01
OTU_6	OTU_268	-0.62830496813	0.0
OTU_6	OTU_3549	0.633647963522	0.0
OTU_6	OTU_3337	0.569493111426	0.01
OTU_6	OTU_68	0.617059047919	0.02
OTU_6	OTU_138	-0.660673292276	0.01
OTU_25	OTU_9	-0.714935019451	0.01
OTU_25	OTU_23	-0.454100211752	0.02
OTU_25	OTU_2078	0.589218834423	0.02
OTU_25	OTU_44	0.60167810269	0.02
OTU_25	OTU_29	0.575376532867	0.05
OTU_25	OTU_4756	0.658149610398	0.01
OTU_25	OTU_19	0.604162704144	0.04
OTU_25	OTU_53	0.583457508035	0.01
OTU_25	OTU_424	0.527691591512	0.0
OTU_25	OTU_3	0.607764532738	0.04
OTU_25	OTU_18	-0.597492017138	0.03
OTU_25	OTU_69	-0.687727902366	0.02
OTU_25	OTU_472	0.624362144568	0.02
OTU_25	OTU_36	-0.51594821539	0.05
OTU_25	OTU_94	0.549962465501	0.05
OTU_25	OTU_168	0.52948781553	0.04
OTU_25	OTU_71	0.781222600546	0.0
OTU_25	OTU_327	-0.631367310747	0.01
OTU_25	OTU_152	0.656026001994	0.02
OTU_25	OTU_585	-0.681319950345	0.01
OTU_25	OTU_2249	0.504500424341	0.05
OTU_25	OTU_130	0.583714312185	0.02
OTU_25	OTU_63	0.893206166982	0.0
OTU_25	OTU_37	-0.710453729245	0.01
OTU_25	OTU_146	0.612314861277	0.01
OTU_5387	OTU_12	-0.633317263412	0.01
OTU_5387	OTU_2865	-0.615702418663	0.03
OTU_5387	OTU_79	0.484262301742	0.04
OTU_5387	OTU_166	-0.567943655984	0.05
OTU_5387	OTU_55	0.485170501039	0.04
OTU_26	OTU_2	0.716838208683	0.0
OTU_26	OTU_1	-0.611162439788	0.02
OTU_26	OTU_44	0.459821993294	0.05
OTU_26	OTU_30	-0.764406258615	0.0
OTU_26	OTU_14	-0.615948410171	0.03
OTU_26	OTU_4643	-0.696040288545	0.01
OTU_26	OTU_86	0.463763501103	0.05
OTU_26	OTU_8	0.632960019928	0.03
OTU_26	OTU_3337	-0.596333698583	0.02
OTU_26	OTU_130	-0.679104283651	0.0
OTU_26	OTU_858	-0.634762050354	0.01
OTU_2	OTU_17	-0.552468220793	0.04
OTU_2	OTU_1	-0.574128704271	0.04
OTU_2	OTU_23	0.524209708743	0.02
OTU_2	OTU_44	0.466489429912	0.05
OTU_2	OTU_29	-0.523942508208	0.05
OTU_2	OTU_30	-0.758581821041	0.01
OTU_2	OTU_62	-0.626010173869	0.01
OTU_2	OTU_14	-0.658103715285	0.02
OTU_2	OTU_4643	-0.611076220135	0.01
OTU_2	OTU_8	0.588534938411	0.01
OTU_2	OTU_112	-0.70462221865	0.0
OTU_2	OTU_3337	-0.540843337563	0.05
OTU_2	OTU_66	0.534960098811	0.03
OTU_2	OTU_858	-0.640246268609	0.01
OTU_2	OTU_1397	-0.469707121617	0.05
OTU_5	OTU_4	0.574546946906	0.03
OTU_5	OTU_2078	-0.525200217249	0.05
OTU_5	OTU_19	-0.535641834779	0.0
OTU_5	OTU_3	-0.559455234381	0.04
OTU_39	OTU_1	0.766500048525	0.0
OTU_39	OTU_109	-0.572034403524	0.05
OTU_39	OTU_30	0.568692683701	0.03
OTU_39	OTU_62	0.579544986405	0.04
OTU_39	OTU_206	0.482798789519	0.05
OTU_39	OTU_613	0.507209596254	0.05
OTU_39	OTU_166	-0.577674951208	0.01
OTU_39	OTU_14	0.655098753589	0.03
OTU_39	OTU_268	-0.53364910571	0.04
OTU_39	OTU_3337	0.628089056391	0.0
OTU_39	OTU_100	0.674786617862	0.02
OTU_39	OTU_68	0.756211168981	0.0
OTU_39	OTU_138	-0.532618595548	0.04
OTU_9	OTU_11	-0.712661259131	0.01
OTU_9	OTU_32	0.762064205307	0.0
OTU_9	OTU_58	0.579185204376	0.04
OTU_9	OTU_67	0.534457453736	0.02
OTU_9	OTU_4756	-0.680184228988	0.01
OTU_9	OTU_424	-0.53178379791	0.03
OTU_9	OTU_18	0.59420230781	0.02
OTU_9	OTU_69	0.7502028357	0.0
OTU_9	OTU_36	0.619996766927	0.02
OTU_9	OTU_103	0.594723775674	0.01
OTU_9	OTU_168	-0.687661835101	0.0
