OTU 1	OTU 2	corr	pval
OTUF_37	OTUF_84	0.715522865481	0.0
OTUF_37	OTUF_3	-0.48639397033	0.05
OTUF_37	OTUF_1	-0.643431449125	0.02
OTUF_37	OTUF_1559	0.814444485408	0.0
OTUF_37	OTUF_36	-0.463088230218	0.05
OTUF_37	OTUF_52	0.517823393902	0.05
OTUF_37	OTUF_15	-0.620498969505	0.02
OTUF_37	OTUF_2305	0.474593331654	0.02
OTUF_37	OTUF_89	0.515941370194	0.05
OTUF_84	OTUF_146	0.571373289966	0.04
OTUF_84	OTUF_1	-0.648727560785	0.01
OTUF_84	OTUF_1559	0.703477548453	0.01
OTUF_84	OTUF_2478	-0.539631475845	0.03
OTUF_84	OTUF_2861	-0.620920555795	0.0
OTUF_84	OTUF_39	-0.548308786172	0.04
OTUF_84	OTUF_1069	-0.502116366412	0.03
OTUF_84	OTUF_2144	0.464032978039	0.05
OTUF_51	OTUF_18	-0.431274931826	0.04
OTUF_51	OTUF_98	0.511005786719	0.01
OTUF_146	OTUF_17	-0.47434812482	0.02
OTUF_146	OTUF_39	-0.513359871173	0.01
OTUF_146	OTUF_134	0.511827361359	0.04
OTUF_146	OTUF_266	0.614402736366	0.0
OTUF_146	OTUF_2305	0.527936029658	0.02
OTUF_146	OTUF_2075	0.522493323145	0.01
OTUF_146	OTUF_117	-0.499250219469	0.01
OTUF_7	OTUF_6	0.714312555711	0.0
OTUF_7	OTUF_10	0.580087556853	0.03
OTUF_7	OTUF_5	0.473317502491	0.05
OTUF_7	OTUF_17	0.51133178555	0.01
OTUF_7	OTUF_134	-0.515175122695	0.01
OTUF_7	OTUF_1477	-0.5919632489	0.02
OTUF_7	OTUF_2075	-0.553167178053	0.02
OTUF_6	OTUF_50	0.424304064423	0.04
OTUF_6	OTUF_73	-0.531997295214	0.03
OTUF_6	OTUF_134	-0.58739381771	0.01
OTUF_6	OTUF_1477	-0.702556900654	0.0
OTUF_6	OTUF_2075	-0.621071843687	0.02
OTUF_6	OTUF_126	0.447091635496	0.04
OTUF_64	OTUF_43	0.534707339467	0.03
OTUF_64	OTUF_1125	-0.595398846794	0.01
OTUF_64	OTUF_875	-0.460836097642	0.03
OTUF_64	OTUF_2861	0.540580862003	0.01
OTUF_64	OTUF_50	-0.452558705714	0.05
OTUF_64	OTUF_39	0.481961427164	0.02
OTUF_64	OTUF_837	-0.434743422087	0.05
OTUF_25	OTUF_126	-0.451122371227	0.04
OTUF_43	OTUF_1125	-0.54985714949	0.03
OTUF_43	OTUF_875	-0.479214502646	0.05
OTUF_43	OTUF_1833	-0.508739367926	0.03
OTUF_43	OTUF_144	0.498120117514	0.05
OTUF_43	OTUF_262	0.494641750713	0.02
OTUF_18	OTUF_1	-0.610296575796	0.0
OTUF_18	OTUF_50	0.490424341254	0.03
OTUF_18	OTUF_73	0.527016008664	0.03
OTUF_18	OTUF_2144	0.715102912852	0.0
OTUF_3	OTUF_2213	0.442991605314	0.05
OTUF_3	OTUF_15	0.723548086955	0.0
OTUF_3	OTUF_2075	-0.434686790637	0.03
OTUF_1	OTUF_1559	-0.528051847115	0.0
OTUF_1	OTUF_2478	0.429058001834	0.04
OTUF_1	OTUF_36	0.476239444775	0.05
OTUF_1	OTUF_8	0.572310751861	0.02
OTUF_1	OTUF_52	-0.495302637296	0.05
OTUF_1	OTUF_15	0.606844142697	0.0
OTUF_1	OTUF_3295	0.456484676402	0.05
OTUF_1	OTUF_2861	0.555330047683	0.01
OTUF_1	OTUF_39	0.508932631695	0.05
OTUF_1	OTUF_87	-0.67114042154	0.01
OTUF_1	OTUF_73	-0.649186870219	0.01
OTUF_1	OTUF_1069	0.552156487259	0.01
OTUF_1	OTUF_266	-0.588170904316	0.0
OTUF_1	OTUF_2305	-0.660004344904	0.0
OTUF_1	OTUF_117	0.409029034472	0.02
OTUF_1559	OTUF_89	0.563291832149	0.0
OTUF_9	OTUF_16	0.512590151175	0.02
OTUF_9	OTUF_28	-0.570794555182	0.02
OTUF_9	OTUF_262	-0.501622487983	0.04
OTUF_4	OTUF_11	0.578939318958	0.01
OTUF_4	OTUF_36	0.601269772392	0.01
OTUF_4	OTUF_52	-0.736099419871	0.0
OTUF_4	OTUF_1069	0.760862241224	0.0
OTUF_4	OTUF_112	-0.525841585756	0.03
OTUF_2	OTUF_11	0.739606226806	0.01
OTUF_2	OTUF_1647	0.465868799678	0.05
OTUF_2	OTUF_28	0.891636113848	0.0
OTUF_2	OTUF_32	0.646341070562	0.01
OTUF_11	OTUF_8	0.672924757968	0.01
OTUF_11	OTUF_52	-0.618768326635	0.0
OTUF_11	OTUF_28	0.75643601386	0.0
OTUF_11	OTUF_32	0.669352547781	0.01
OTUF_11	OTUF_45	-0.434042128348	0.05
OTUF_11	OTUF_87	-0.579576225824	0.05
OTUF_1647	OTUF_2213	0.388531714958	0.05
OTUF_1647	OTUF_44	-0.656550132543	0.0
OTUF_1647	OTUF_1637	0.72749462681	0.0
OTUF_1647	OTUF_122	-0.560552760784	0.01
OTUF_1647	OTUF_112	-0.521543336886	0.02
OTUF_10	OTUF_52	-0.525483570176	0.01
OTUF_10	OTUF_17	0.599095266412	0.03
OTUF_2478	OTUF_3295	0.851554050232	0.0
OTUF_2478	OTUF_2861	0.770071419491	0.0
OTUF_2478	OTUF_39	0.484182817319	0.02
OTUF_2478	OTUF_1637	-0.505450189967	0.02
OTUF_2478	OTUF_266	-0.544758012955	0.01
OTUF_2478	OTUF_2305	-0.484226283154	0.01
OTUF_2478	OTUF_117	0.554455706926	0.0
OTUF_16	OTUF_144	-0.471663647803	0.03
OTUF_36	OTUF_52	-0.631642593584	0.0
OTUF_36	OTUF_1637	0.568920160274	0.02
OTUF_36	OTUF_87	-0.635054728508	0.0
OTUF_36	OTUF_1069	0.559128853297	0.03
OTUF_36	OTUF_122	-0.694360184574	0.0
OTUF_36	OTUF_112	-0.518784692097	0.03
OTUF_8	OTUF_52	-0.576598365414	0.04
OTUF_8	OTUF_28	0.688011426003	0.0
OTUF_8	OTUF_32	0.691711790251	0.0
