OTU 1	OTU 2	corr	pval
OTU_57	OTU_466	0.741669019571	0.0
OTU_57	OTU_312	0.699459842696	0.0
OTU_57	OTU_26	0.69878523357	0.01
OTU_57	OTU_1465	0.590793006841	0.0
OTU_57	OTU_11	-0.561666854862	0.02
OTU_57	OTU_109	0.557682720309	0.02
OTU_57	OTU_59	-0.718487025537	0.0
OTU_57	OTU_92	-0.478059198245	0.05
OTU_57	OTU_4786	0.566347391039	0.01
OTU_57	OTU_44	0.59584665647	0.0
OTU_57	OTU_53	-0.680620528791	0.0
OTU_57	OTU_30	-0.474955651599	0.04
OTU_57	OTU_4748	0.551887800986	0.03
OTU_57	OTU_79	-0.537078122247	0.02
OTU_57	OTU_133	0.669655202056	0.01
OTU_57	OTU_206	-0.576874185823	0.01
OTU_57	OTU_613	-0.605755861127	0.0
OTU_57	OTU_69	0.610149018651	0.01
OTU_57	OTU_77	-0.607990758097	0.0
OTU_57	OTU_8	0.621472895924	0.0
OTU_57	OTU_327	-0.479189920281	0.05
OTU_57	OTU_3549	-0.47355056259	0.04
OTU_57	OTU_287	0.556635485749	0.03
OTU_57	OTU_4781	-0.526618345006	0.04
OTU_57	OTU_3337	-0.554990670282	0.01
OTU_57	OTU_52	-0.698303623567	0.0
OTU_57	OTU_130	-0.564718827914	0.01
OTU_57	OTU_63	-0.635567443812	0.01
OTU_57	OTU_68	-0.835818317281	0.0
OTU_57	OTU_204	-0.577678569383	0.02
OTU_10	OTU_466	-0.545453392447	0.01
OTU_10	OTU_5387	0.427851954046	0.05
OTU_10	OTU_312	-0.664558893627	0.02
OTU_10	OTU_26	-0.704467118641	0.0
OTU_10	OTU_5	-0.57612317924	0.04
OTU_10	OTU_9	0.571730127394	0.02
OTU_10	OTU_11	0.609598150979	0.01
OTU_10	OTU_17	0.622491889405	0.01
OTU_10	OTU_32	0.601049247803	0.01
OTU_10	OTU_4293	-0.568535442444	0.0
OTU_10	OTU_92	0.704163121589	0.01
OTU_10	OTU_5583	0.759259362696	0.0
OTU_10	OTU_67	0.549760924936	0.01
OTU_10	OTU_29	0.912375543609	0.0
OTU_10	OTU_53	0.587351150667	0.0
OTU_10	OTU_3	0.565136925117	0.01
OTU_10	OTU_30	0.779035480495	0.0
OTU_10	OTU_62	0.882469597861	0.0
OTU_10	OTU_133	-0.552446670949	0.04
OTU_10	OTU_206	0.855082320866	0.0
