OTU 1	OTU 2	corr	pval
OTU_57	OTU_466	0.705746543049	0.0
OTU_57	OTU_2773	0.544591860951	0.02
OTU_57	OTU_5387	-0.739039484847	0.0
OTU_57	OTU_5	0.610867904079	0.01
OTU_57	OTU_39	-0.597592723093	0.0
OTU_57	OTU_9	-0.525838520019	0.03
OTU_57	OTU_17	-0.653795856294	0.01
OTU_57	OTU_1	-0.500991815865	0.05
OTU_57	OTU_4293	0.588321734854	0.01
OTU_57	OTU_4786	0.491974923279	0.05
OTU_57	OTU_5583	-0.574856821322	0.02
OTU_57	OTU_67	-0.561900752446	0.02
OTU_57	OTU_44	0.612634172485	0.0
OTU_57	OTU_29	-0.546695227582	0.03
OTU_57	OTU_3	-0.571953624052	0.02
OTU_57	OTU_62	-0.637576947275	0.02
OTU_57	OTU_166	0.565140885141	0.02
OTU_57	OTU_239	0.734136861859	0.0
OTU_57	OTU_98	-0.543264879505	0.01
OTU_57	OTU_8	0.695748276425	0.0
OTU_57	OTU_327	-0.544200223636	0.04
OTU_57	OTU_35	0.64618862567	0.01
OTU_57	OTU_3549	-0.579810362986	0.01
OTU_57	OTU_45	-0.668087544308	0.0
OTU_57	OTU_55	-0.482134048077	0.04
OTU_57	OTU_3337	-0.610045609952	0.0
OTU_57	OTU_61	-0.575913866866	0.0
OTU_57	OTU_68	-0.50590535379	0.03
OTU_10	OTU_2773	-0.636143937111	0.0
OTU_10	OTU_24	-0.618456486746	0.01
OTU_10	OTU_6	-0.552912697806	0.02
OTU_10	OTU_25	0.813324778105	0.0
OTU_10	OTU_5387	0.619844647091	0.0
OTU_10	OTU_312	-0.738012557584	0.02
OTU_10	OTU_26	-0.696825909896	0.0
OTU_10	OTU_39	0.641843784885	0.0
OTU_10	OTU_9	0.725615266451	0.0
OTU_10	OTU_1465	-0.450008147216	0.05
OTU_10	OTU_12	0.603547580479	0.02
OTU_10	OTU_32	0.701341929299	0.0
OTU_10	OTU_58	0.631627093452	0.0
OTU_10	OTU_92	0.479938551394	0.02
OTU_10	OTU_4786	-0.665051941605	0.0
OTU_10	OTU_5583	0.497328781127	0.03
OTU_10	OTU_67	0.509881252798	0.01
OTU_10	OTU_44	-0.70025991636	0.0
OTU_10	OTU_29	0.703517790789	0.0
OTU_10	OTU_4756	0.635432384796	0.0
OTU_10	OTU_19	0.780395987484	0.0
OTU_10	OTU_53	0.733533544304	0.0
OTU_10	OTU_3	0.778849436977	0.01
OTU_10	OTU_30	0.620248386085	0.01
OTU_10	OTU_62	0.671315530894	0.0
OTU_10	OTU_133	-0.71623752207	0.0
OTU_10	OTU_166	-0.603171190504	0.03
OTU_10	OTU_69	-0.504116078317	0.04
OTU_10	OTU_14	0.572559248408	0.03
OTU_10	OTU_239	-0.473706608959	0.03
OTU_10	OTU_98	0.552611556301	0.02
OTU_10	OTU_5594	0.597561016541	0.01
OTU_10	OTU_268	-0.543139962374	0.0
OTU_10	OTU_71	0.869967444664	0.0
OTU_10	OTU_8	-0.704498997722	0.0
OTU_10	OTU_327	0.739106729832	0.0
OTU_10	OTU_35	-0.679872349224	0.03
OTU_10	OTU_45	0.703108389131	0.0
OTU_10	OTU_55	0.655324255913	0.0
OTU_10	OTU_3337	0.697842325917	0.01
OTU_10	OTU_52	0.571382021752	0.01
OTU_10	OTU_63	0.506974181607	0.02
OTU_466	OTU_2773	0.653328608445	0.01
OTU_466	OTU_5387	-0.596358257124	0.03
OTU_466	OTU_26	0.652471433694	0.0
OTU_466	OTU_9	-0.463041063324	0.05
OTU_466	OTU_4786	0.490616340185	0.05
OTU_466	OTU_44	0.49283604038	0.04
OTU_466	OTU_3	-0.577320898187	0.02
OTU_466	OTU_133	0.63688273254	0.0
OTU_466	OTU_239	0.685789083289	0.0
OTU_466	OTU_8	0.669136785607	0.0
OTU_466	OTU_327	-0.63328982528	0.01
OTU_466	OTU_35	0.468955105848	0.04
OTU_466	OTU_45	-0.57672655881	0.02
OTU_466	OTU_3337	-0.490411595574	0.05
OTU_466	OTU_253	0.44448986474	0.03
