4NR5	TNR1	soil2	TNR3	4NRh5	TNRh2	TGRh4	WGRh3	WNR4	4NRh3	TNR4	4GRh4	WGRh4	WNR5	soil3	TGRh2	4NRh2	TNRh3	TNR2	4NR4	TGRh5	TNRh5	WNR1	TNRh6	WNR2	4NR6	WGRh5	WGR3	4NRh1	WNR6	4GRh1	soil1	WGRh6	4NR3	4NRh4	TGR2	soil5	WNRh5	WNRh2	WGR5	soil6	WNRh4	WNR3	WGRh2	TNR5	4NRh6	4GRh3	WGR4	TGRh6	WNRh3	TNR6	soil4	TNRh1	TGR6	TGRh1	WGR6	TGR5	WNRh6	TGRh3	WGRh1	TNRh4	WGR2	4GR5	WNRh1	TGR1	4GRh2	4GR4	WGR1	TGR4	4GR3	4GRh6	4NR2	4GRh5	TGR3	4NR1	4GR6	4GR1	4GR2
OTU_27	963	1	310	6	2009	227	1598	354	1640	2170	79	70	362	2478	350	191	1053	233	88	488	27	1643	1413	430	5	553	350	458	885	2389	24	489	298	308	738	0	352	208	237	1498	366	191	2326	307	101	811	116	579	461	260	0	483	181	0	203	1079	281	167	1793	308	393	348	160	255	2	59	104	512	0	98	369	248	259	35	92	175	87	68
OTU_1	447	31800	18	9971	96	1566	771	12	126	77	14881	5	13	99	8	356	154	336	14491	143	615	702	72	457	162	155	16	35	33	122	11	4	14	149	53	1481	4	12	2	117	4	10	139	17	16486	46	10	51	2672	13	302	8	323	3742	250	74	2789	5	260	9	388	59	206	13	289	63	23	40	10059	27	66	105	8	745	125	54	23	18
OTU_76	99	0	37	0	131	0	48	68	210	120	61	4	42	130	25	22	135	72	19	53	0	70	114	28	0	81	44	66	54	220	1	36	35	39	83	0	13	17	25	95	13	29	245	96	0	71	16	9	44	26	0	14	23	0	24	54	2	10	53	42	48	42	14	47	2	2	7	46	0	8	25	26	14	0	2	6	2	2
OTU_5	2902	0	58	26	4144	304	1472	1515	4559	3163	2047	572	1387	3488	67	390	3005	1044	271	2045	5	802	2650	237	7	3174	1001	2226	798	5628	104	85	2800	3900	1557	0	52	509	384	3823	61	715	6762	1330	10	1738	642	1764	604	1012	0	85	355	30	363	4795	137	345	2107	1357	460	1348	792	631	2	201	703	2191	36	578	778	1582	547	592	268	556	797	420
OTU_222	7	0	148	0	201	0	87	175	14	281	0	29	171	19	94	53	108	79	0	0	0	75	8	64	1	10	56	13	180	10	5	188	108	27	101	0	78	97	69	2	124	67	20	131	0	146	24	0	122	124	0	136	35	0	14	2	0	57	147	93	62	10	7	89	0	8	0	5	0	0	65	0	70	0	0	0	0	0
OTU_2	4231	556	169	255	10749	1954	2741	2867	7183	11264	14418	1017	2981	7590	180	799	6683	3250	2404	3013	159	2434	4317	1310	193	4099	1618	2435	2453	8272	156	207	4132	1846	6110	100	163	1440	1402	3088	216	1990	7462	3007	386	4757	961	1348	1486	2228	109	213	1312	131	908	3454	444	1181	3240	2237	3199	1661	1080	1632	52	338	429	2064	289	370	1315	812	1076	87	439	564	276	222
OTU_8	626	3	2877	9	14554	700	3253	6499	2985	16238	816	1017	6545	5403	2147	607	12929	3256	82	812	92	1930	1926	889	8	984	3371	1288	9490	3330	82	3076	6327	315	12179	132	2306	3056	2097	1512	2443	3791	4863	5749	3	9663	901	679	1055	3657	1	2387	631	18	821	2160	15	1701	3762	4722	1117	634	84	3680	0	377	108	914	1	54	2640	117	1483	24	76	84	52	49
OTU_7	6601	0	34	6	1412	184	154	193	5798	804	187	86	200	7063	50	41	733	147	118	3239	2	153	4643	97	19	3352	117	1627	254	6245	12	49	384	2374	661	1	60	170	133	3019	42	163	8453	251	28	442	72	1290	35	249	0	49	67	0	40	2444	24	90	267	147	75	1267	1271	157	0	25	433	1672	13	252	132	1182	102	63	600	747	295	188
OTU_4078	0	0	5	0	4	0	0	5	0	38	0	2	2	0	8	0	7	0	0	0	0	2	0	0	0	0	7	0	11	0	0	10	1	0	17	0	5	36	3	4	7	3	0	5	0	7	1	0	0	5	0	33	5	0	0	0	0	2	8	1	8	0	0	16	0	0	0	1	0	0	0	0	2	0	0	0	0	0
OTU_4	6967	256	357	317	2819	940	2604	1810	6960	3612	4994	677	1270	7338	319	561	2355	1322	2038	8361	511	891	5143	1063	234	4858	1027	3081	2644	9298	281	314	1901	2592	2862	197	302	672	619	5084	435	849	7482	1758	1349	1555	572	1136	2136	974	569	339	3322	182	580	1984	89	597	1866	1333	1150	2270	1560	1060	48	330	712	2292	128	463	793	1783	614	445	770	1937	685	443
OTU_3374	1130	54	16	53	1226	384	522	374	1945	970	2292	68	227	1654	13	142	1078	636	329	945	7	328	967	215	2	1205	199	620	242	2113	13	8	296	823	812	0	9	155	109	1109	14	278	2843	326	1	614	143	417	232	346	0	6	200	6	171	655	124	112	574	212	435	483	317	216	1	32	159	448	17	162	138	479	114	30	142	318	115	113
OTU_3472	0	0	33	0	4	0	3	7	0	1	0	7	15	0	29	0	15	6	0	0	0	3	0	3	0	0	9	0	1	0	0	51	6	0	3	0	37	4	4	0	19	0	1	6	0	10	0	0	0	4	0	51	0	0	2	0	0	0	8	4	8	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0
OTU_660	0	0	120	0	44	0	29	68	0	59	0	14	77	4	96	13	70	30	0	0	0	22	52	22	0	0	30	4	56	3	0	225	34	0	64	0	112	21	21	2	103	21	0	60	0	65	4	0	0	31	0	122	7	0	8	4	0	21	34	21	0	0	0	51	0	3	0	0	0	0	39	0	15	0	0	0	0	1
OTU_443	3951	1	101	30	5091	426	1167	2319	3185	4808	1881	1299	2847	5621	91	372	3930	993	273	1406	22	825	2586	381	10	2053	1313	1166	1372	3381	182	111	4482	1092	2514	0	88	1008	860	1916	132	1121	4223	1474	61	1936	869	1362	442	1071	1	100	411	0	383	4488	63	483	1259	2311	626	578	465	812	0	228	542	1325	1	485	1100	754	713	0	252	359	334	335
OTU_311	255	46	84	28	575	391	401	296	914	359	631	42	126	1418	74	97	249	463	353	1396	59	231	487	47	1	139	111	209	296	773	6	132	285	29	1553	0	139	153	108	501	124	255	1191	143	46	196	33	148	61	230	0	78	293	0	84	239	667	116	1534	138	358	161	25	186	0	27	30	202	20	6	37	62	22	1	44	51	9	10
OTU_28	777	3134	176	2764	1086	1580	1281	176	566	712	2610	845	74	1250	182	1142	799	422	1600	290	2536	1138	484	1096	320	1084	202	118	1204	1159	186	352	1055	816	1151	1655	75	103	36	1225	156	63	1190	271	4134	533	171	110	1303	180	1602	190	4687	933	1154	182	312	49	485	62	572	436	313	121	557	120	185	224	964	59	170	1004	113	1806	632	83	262	17
OTU_29	373	0	43	0	85	0	68	61	2264	115	153	5	44	890	62	27	57	28	7	765	0	39	769	20	1	1039	20	552	47	864	0	49	56	112	61	0	45	29	13	637	45	20	1899	56	1	77	5	345	1	43	0	70	7	0	18	964	20	9	48	23	10	235	497	49	0	1	78	338	3	17	33	44	11	3	3	276	13	29
OTU_236	2832	0	126	4	1636	113	214	295	2168	1012	38	132	324	2569	108	100	1120	211	76	924	1	226	1371	155	0	1248	223	366	346	1938	14	140	449	579	631	7	107	206	163	760	106	274	2491	383	0	404	104	393	56	258	0	115	110	0	82	708	10	104	270	242	75	296	356	184	0	37	115	442	0	90	195	465	83	3	211	217	83	88
OTU_18	771	140	320	15	4880	817	1246	928	1306	1806	403	459	411	2191	305	224	1243	759	574	1629	12	665	822	504	2	628	286	443	2907	1760	20	502	1668	260	7843	0	596	380	141	519	333	294	2089	525	0	1196	185	227	144	458	0	407	796	54	193	479	132	149	1954	333	1163	207	95	317	1	59	68	216	31	51	117	129	174	65	207	40	30	9
OTU_188	0	0	307	0	256	115	196	68	2	254	5	36	95	1	346	174	156	148	2	1	3	212	3	82	1	3	65	1	99	1	0	391	72	0	118	0	284	69	47	3	354	37	3	91	0	151	20	0	0	90	0	360	68	0	170	2	1	32	164	52	55	0	0	49	0	3	0	1	0	0	39	0	41	0	0	2	0	0
OTU_172	4	1	407	0	317	29	436	121	1	338	5	28	144	2	368	194	188	143	0	3	1	319	1	72	0	6	60	1	164	6	3	500	99	1	218	0	448	58	37	3	522	52	3	105	0	292	27	0	34	93	0	463	114	0	159	0	0	39	366	72	59	3	0	54	0	6	0	0	0	0	56	0	45	4	0	0	0	0
OTU_51	0	0	2	17	13	1	219	24	335	15	3033	0	13	17	0	23	0	61	36	0	1	40	49	9	0	24	15	140	6	467	0	0	8	0	2	0	0	3	6	38	0	33	30	37	0	7	0	16	0	16	0	0	44	0	13	26	20	3	23	6	143	111	0	72	0	15	1	6	4	0	5	0	5	0	0	0	0	0
OTU_3934	1306	32	22	29	1712	194	552	558	2515	1208	2464	78	300	2357	20	160	1340	645	261	1165	6	332	1268	132	7	1622	242	826	378	2434	21	14	440	505	1091	0	20	254	178	1318	19	386	3392	478	1	766	159	503	142	516	2	14	177	4	222	720	112	166	626	310	311	570	331	337	2	53	186	523	10	141	211	534	156	27	160	421	132	132
OTU_25	675	1	12	1	869	81	374	991	440	700	341	241	653	522	12	102	440	259	9	266	11	208	277	119	2	600	617	156	141	823	19	7	929	103	480	0	11	155	80	182	12	117	836	1040	0	501	229	49	86	205	1	2	83	0	105	150	1	83	149	828	573	73	60	215	2	75	25	96	6	24	370	49	234	0	35	48	17	8
OTU_152	181	79	3	446	87	75	12	6	107	182	89	1	8	119	2	456	44	102	14	12	438	2	119	685	0	39	23	18	34	234	42	4	13	115	152	661	1	2	7	327	1	6	102	13	993	33	9	15	45	10	0	3	4795	151	332	113	15	4	25	13	88	44	63	5	13	28	3	47	179	14	9	229	10	1080	42	19	70	3
OTU_162	30	8	3	0	92	4	114	48	45	106	67	3	46	86	9	20	59	21	19	28	0	63	59	16	0	23	24	45	45	79	0	11	39	13	66	0	21	10	7	51	13	7	114	58	0	50	9	10	21	7	0	7	23	0	12	26	7	3	247	28	24	16	17	18	0	2	1	35	0	4	11	2	22	46	4	0	1	2
OTU_12	78	2735	17	831	83	8134	70	2	44	72	742	2	4	30	7	581	14	96	665	70	7554	38	21	770	13320	31	8	26	40	40	67	7	10	153	60	4811	7	2	3	177	7	4	42	15	8522	9	9	12	7455	7	8665	4	1065	2892	231	61	99	1	61	4	335	11	132	13	1933	18	27	23	863	14	40	185	15	997	226	59	73	2
OTU_3700	96	0	147	0	2636	106	234	892	599	2865	92	136	1086	725	76	62	2233	419	22	147	1	360	381	98	0	203	480	153	1695	554	10	173	1126	69	1945	0	78	510	310	241	114	587	717	707	32	1480	108	100	134	551	0	136	118	0	64	320	0	264	299	713	177	75	6	664	0	76	6	144	0	13	319	24	178	0	14	11	8	10
OTU_364	9	0	160	6	406	30	118	104	28	322	23	19	76	30	112	69	256	117	0	7	1	116	15	79	0	10	58	10	221	23	0	192	95	4	207	0	106	35	32	21	159	41	39	93	0	190	20	9	48	53	0	132	41	5	71	13	0	35	287	71	55	6	4	43	0	11	1	4	0	1	44	1	26	7	0	1	0	1
OTU_4537	271	233	3	72	76	619	141	54	297	99	1857	8	38	301	0	33	95	160	366	144	44	47	211	136	112	95	24	157	52	413	1	1	67	57	93	14	0	12	9	146	3	23	332	49	138	36	9	50	210	24	62	0	74	61	32	175	32	9	119	37	399	117	37	26	6	14	14	97	58	9	12	35	15	17	16	19	8	7
OTU_476	55	0	1	0	26	0	16	5	35	46	44	13	8	36	0	2	65	16	0	11	0	18	11	5	0	19	6	7	78	68	0	2	11	3	61	0	4	2	0	13	0	6	48	9	0	12	0	6	8	7	0	2	27	0	4	14	5	4	9	2	8	11	17	1	0	2	0	6	0	0	2	0	5	0	0	1	0	1
OTU_11	1882	138	564	38	2820	634	1422	536	2033	2534	969	113	445	2019	515	520	1821	903	247	699	2	1561	1946	444	4	795	334	461	1451	2040	10	758	538	438	1792	0	595	250	223	1148	580	238	2999	528	892	1497	102	338	137	372	0	722	381	0	423	706	110	150	1574	354	414	247	160	304	1	45	70	383	18	55	215	255	148	80	126	85	32	27
OTU_769	27	92	10	37	85	137	48	24	105	74	29	4	9	38	9	143	127	19	14	5	63	35	17	83	21	5	26	6	97	65	16	11	16	32	117	109	15	18	10	90	18	4	31	39	18	47	15	2	46	24	49	20	370	51	112	22	5	10	69	27	23	7	25	17	0	7	2	23	54	5	15	48	30	157	11	3	21	4
OTU_280	0	0	58	0	57	31	50	13	0	35	9	1	22	1	54	35	26	28	0	0	0	41	0	11	0	0	9	0	29	1	0	73	18	0	30	0	92	15	5	0	97	6	0	9	0	19	5	0	0	14	0	74	21	0	22	0	0	2	25	3	19	0	0	2	0	0	0	0	0	0	4	0	4	0	0	0	0	0
