4GRh3	WGR6	4GR4	WGR2	WGRh3	WNR5	4NRh3	4GR1	TNR4	soil6	WGRh4	WNRh6	WNR1	WNR4	4NR1	4GR3	WGR4	soil5	WGRh1	4NR3	WNRh3	WNRh1	4NR6	WNRh2	4GR6	4GRh1	WNR3	WNRh4	4NRh6	soil2	TNR2	4NRh4	4GR2	4GRh6	4GRh2	WGR5	TNRh5	TGRh3	WNRh5	TNRh3	4NRh2	WGRh2	4NR2	WGR3	4NR5	soil3	WGRh5	WNR6	soil1	WGR1	4NRh1	soil4	4NR4	TGR5	WGRh6	TGRh4	4GR5	4GRh4	TGRh1	4GRh5	4NRh5	TGR3	TNR3	TGR4	TNRh4	TGRh2	TNRh1	TNR1	TNRh2	TGR2	TNRh6	TNR5	TGR6	TGRh5	TGRh6	TGR1	TNR6	WNR2
OTU_30	800	527	2977	719	327	774	38	193	99	16	930	295	2091	1657	1833	1416	2601	2	70	298	679	565	1209	1333	772	219	2249	668	320	17	1	33	98	299	17	616	216	552	359	67	58	319	476	523	1066	1	692	1360	2	223	67	2	282	627	126	468	1697	320	26	221	173	47	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0
OTU_507	3	257	22	19	13	29	11	3	0	75	18	23	93	114	5	1	2	52	3	5	13	59	52	55	69	25	13	152	23	5	0	7	8	17	9	27	3	8	24	7	0	3	33	12	73	15	13	18	55	3	4	14	13	7	17	44	62	41	0	17	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_133	0	65	1722	55	9	0	0	4	0	0	0	72	1	272	8	7	3	0	272	2	15	1	1	23	1	0	125	18	0	0	0	1	3	0	0	0	0	0	0	0	172	23	1121	0	9	1	2	863	0	2763	8	0	21	1	0	11	20	399	0	6	2	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0
OTU_128	7	384	525	264	31	338	15	196	98	6	28	36	520	444	625	111	561	11	28	333	46	40	1665	39	54	29	747	33	42	0	0	21	36	161	8	450	22	7	5	0	6	27	312	599	203	0	47	369	7	553	1	0	1544	39	19	9	560	52	0	24	37	0	0	0	1	0	0	41	0	0	0	0	0	0	0	0	0	0
OTU_38	240	606	5883	3757	84	495	213	3201	3	1	49	108	1718	2222	4305	4487	16	2	233	1677	546	501	2057	32	500	941	6913	399	107	3	8	23	12473	918	458	1078	4	196	60	86	257	74	3347	852	168	2	225	2025	4	2009	65	2	17	1447	51	127	2700	495	291	367	31	14	22	0	0	153	87	269	4	0	0	2	20	0	0	1	0	0
OTU_20	7497	18	1	20	4358	4	37	11	1	2	14	4742	4	81	0	845	12	0	5495	3	1	5	3	462	9	2292	6	883	13	0	1	28	23	7857	1414	9	1	1158	0	0	0	221	4	619	1	0	23	423	0	704	40	3	2	4	2	39	11	218	63	486	0	0	2	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0
OTU_14	784	6363	15952	2247	636	25847	1283	11477	650	13	1409	576	15064	6512	20212	8499	9004	9	2777	18565	578	1917	5000	1605	11555	1145	7829	783	701	39	905	232	2470	1587	211	6235	403	1690	2364	3882	883	942	18260	2446	13343	9	1089	14845	17	5909	381	12	1968	4376	462	1318	4165	905	2061	1794	558	37	189	137	57	70	302	424	24	0	92	12	0	1	0	1	1	0
OTU_2	1858	481	1248	1890	3468	6304	20267	474	18	12	3787	22644	7429	15385	7589	205	1002	12	7157	4002	19008	7180	736	32904	1789	600	8125	28786	2310	18	6	2097	113	935	156	1054	140	63	12700	676	1420	2992	2039	2104	2382	4	2669	7191	6	3667	1090	11	15958	14	344	6	531	577	84	3170	1450	3	3	0	103	0	10	1	0	0	0	1	0	0	0	0	1	0
OTU_8	709	325	2	9	910	10	560	5	4	17842	2508	626	18	4	5	0	12	10785	533	8	1434	834	0	749	4	602	4	804	1286	7657	7	360	1	712	436	8	247	410	907	384	592	1140	3	7	2	10530	1441	6	11742	698	107	11265	15	4	850	270	8	1331	725	218	306	1	2	1	24	24	90	0	0	0	1	0	0	0	36	0	0	0
OTU_61	542	514	3419	170	2	284	98	21	87	3	724	13	799	1122	152	885	646	1	152	198	158	527	276	379	1960	54	476	193	745	2	3	89	55	1356	81	909	46	557	74	22	23	65	80	9	38	2	359	87	1	484	25	0	401	0	366	917	37	456	155	107	27	0	19	0	101	20	65	0	0	0	0	0	34	0	0	0	0	0
